brand,ram_gb,storage_gb,battery_mah,primary_camera_mp,front_camera_mp,screen_size_inch,weight_g,fiveg,price_inr
Samsung,12,512,4731,50,32,6.2,206,1,39640
Apple,8,512,3785,64,16,6.38,142,1,26302
Oppo,6,64,5043,64,32,5.7,225,0,23128
Vivo,8,512,5248,12,12,5.28,225,1,27661
Apple,4,64,5416,50,8,5.39,213,0,19649
Xiaomi,8,256,3796,48,12,5.6,190,1,20742
Motorola,3,32,3076,12,12,6.21,206,0,12011
Vivo,4,256,3058,12,8,5.76,215,1,17954
Motorola,6,512,5478,108,16,5.01,187,1,23959
Apple,3,256,5685,108,8,5.99,156,0,16537
Motorola,4,256,4523,108,12,6.75,146,1,17910
Oppo,6,256,4936,12,12,6.54,152,1,25169
Vivo,3,512,5156,48,16,6.57,205,1,16854
Oppo,3,256,4301,64,8,6.51,143,1,15998
Apple,4,64,3067,108,12,5.62,149,1,13161
Oppo,12,512,5352,48,32,6.45,227,1,35250
Xiaomi,3,256,4932,50,12,5.27,156,1,17370
Apple,3,512,5721,108,12,6.25,191,1,18307
Apple,6,128,3364,64,16,6.22,145,0,20763
Apple,8,64,3820,50,32,5.05,222,1,18971
Samsung,4,256,4402,50,12,6.5,208,1,17985
Motorola,4,128,5390,64,12,6.72,213,0,12538
Samsung,12,128,3946,108,32,5.51,148,1,33725
Samsung,12,512,5946,12,8,6.54,216,1,39126
Xiaomi,4,128,4577,64,8,5.16,222,1,14231
Vivo,12,64,4377,64,12,6.14,160,0,27430
Motorola,6,64,4439,64,12,5.92,163,1,16241
Oppo,4,32,3761,50,8,6.04,143,1,19483
Realme,12,64,3340,48,16,6.76,163,1,27551
Apple,4,128,5989,12,32,6.66,198,1,22384
Oppo,8,64,3382,108,32,6.49,142,1,27293
Apple,3,512,4003,108,16,5.52,207,1,25577
Xiaomi,4,32,4556,48,16,6.73,179,0,12888
Apple,3,128,3299,64,16,5.19,187,1,16276
Samsung,12,32,3138,12,16,6.62,193,1,26184
Motorola,3,128,3358,108,16,5.62,174,0,11051
Realme,4,512,3835,108,16,5.1,195,1,25376
OnePlus,8,32,4522,64,32,6.27,228,0,19061
Apple,12,256,4627,48,16,5.44,179,0,26288
Oppo,4,128,4982,12,8,5.46,216,1,21380
Samsung,12,256,4303,48,16,5.58,207,1,31332
OnePlus,6,32,5530,48,16,5.12,185,1,17353
Realme,3,256,3908,12,32,5.34,217,1,13591
OnePlus,6,256,4134,12,32,5.01,152,0,19066
Samsung,4,32,5913,108,16,5.85,166,1,22150
Motorola,8,512,5186,108,32,5.16,145,1,25243
Motorola,12,256,3995,12,12,6.3,156,1,27268
Vivo,3,256,5482,50,32,5.45,175,1,22122
Motorola,12,512,5556,108,32,6.79,220,1,38189
Vivo,4,256,5320,50,32,6.66,141,1,18754
OnePlus,12,256,5151,12,32,5.55,216,1,30749
Xiaomi,3,256,4237,108,8,6.49,191,0,12404
Oppo,4,64,4784,48,8,6.53,205,1,19189
Oppo,12,512,5809,12,8,6.87,191,0,31515
OnePlus,8,256,5834,64,16,6.14,182,0,28473
Apple,4,512,3164,50,16,5.16,229,0,20777
Apple,4,128,3998,12,12,6.23,161,1,16765
Motorola,8,128,5567,12,8,6.19,194,1,27914
Oppo,6,256,4307,108,16,6.21,206,1,20439
Oppo,3,512,5564,108,32,5.58,199,1,21486
Vivo,6,512,3656,108,32,6.63,197,1,23903
Xiaomi,12,512,5660,64,8,6.82,151,1,39151
Samsung,8,64,5211,108,12,5.41,227,0,19827
Apple,6,128,4909,12,12,5.17,208,1,23000
Oppo,4,512,5046,108,32,5.37,223,1,27097
Vivo,12,512,5111,48,12,6.56,178,1,32430
Realme,12,64,4140,108,8,6.29,152,1,30366
Vivo,6,64,4889,64,32,6.21,180,0,17916
Apple,6,512,3266,48,16,5.76,196,1,29065
Apple,8,32,4845,12,16,6.1,192,1,26789
Vivo,3,512,4708,12,12,5.58,151,1,21840
Samsung,6,512,5293,50,32,5.91,152,0,27006
OnePlus,6,64,5442,48,32,6.51,213,1,23085
Apple,4,64,4510,50,16,6.86,196,1,22061
Vivo,12,512,3475,48,32,6.77,179,0,30460
Oppo,3,512,3976,48,32,6.77,219,1,18238
Vivo,4,512,4207,64,32,5.76,184,1,21654
Xiaomi,8,64,4043,50,12,5.89,174,1,21272
OnePlus,8,512,4960,64,32,6.34,142,1,24701
Realme,6,512,3557,48,8,6.75,144,1,20381
Samsung,6,256,4017,12,12,5.27,229,1,20819
Motorola,8,32,4605,48,32,5.58,150,0,19362
Realme,6,128,3882,64,32,5.26,210,0,19238
OnePlus,3,32,5194,50,8,6.16,195,0,8781
OnePlus,6,256,3665,50,12,5.58,149,1,25468
OnePlus,12,128,5667,64,16,5.62,173,1,26446
Realme,6,512,4771,50,16,5.13,206,1,28725
Oppo,4,256,5867,108,12,5.66,211,1,26417
OnePlus,3,512,3863,12,32,6.64,170,1,16762
Vivo,4,64,3581,12,32,5.44,214,1,18812
Realme,4,256,3694,12,16,6.32,210,0,15662
Motorola,12,64,4251,50,16,6.2,205,1,25142
OnePlus,3,256,4610,50,16,6.64,209,1,17797
Vivo,3,256,4239,48,8,5.25,180,1,18887
Oppo,3,64,5454,48,16,6.86,202,1,14208
Xiaomi,3,128,3398,12,8,6.11,171,1,15212
Oppo,3,32,4946,108,12,6.89,159,0,15539
Motorola,12,512,3714,48,32,6.73,196,1,36744
OnePlus,6,256,3703,48,16,5.42,189,1,16986
Motorola,4,512,5808,50,32,5.11,219,1,18750
Realme,3,64,5546,108,32,5.49,164,1,13618
Apple,6,512,4714,12,16,6.0,151,1,26482
OnePlus,6,64,4972,48,16,5.33,210,1,17918
Apple,4,512,3081,108,12,5.32,178,1,18562
Vivo,12,32,3603,108,8,5.88,156,1,27154
Xiaomi,8,32,4970,12,8,5.06,184,1,22043
Samsung,8,32,4710,108,32,5.23,150,1,24604
Motorola,6,32,5046,108,16,5.79,209,1,18964
Oppo,4,32,5819,108,12,5.12,162,1,17355
Xiaomi,8,32,3902,48,12,5.75,209,0,24395
OnePlus,6,64,3364,12,12,5.9,177,1,18510
Apple,12,256,3162,108,12,5.86,141,0,29273
Oppo,8,512,5558,108,12,6.65,225,1,35397
Apple,6,32,4863,48,8,6.01,223,0,17640
Realme,6,64,3115,12,8,5.89,228,0,16416
Apple,3,64,5988,50,8,5.78,218,0,12299
Realme,12,64,5384,48,16,6.55,211,0,27293
Vivo,3,256,3880,12,32,6.7,176,1,19212
Oppo,4,512,5784,108,12,6.62,188,1,25913
Oppo,3,256,3839,12,16,6.28,191,1,13029
Samsung,3,128,5194,12,12,5.26,172,1,18614
OnePlus,8,64,4346,12,8,5.53,161,1,17568
Realme,6,128,5490,50,16,5.09,144,0,14858
Samsung,12,32,5884,12,8,6.77,157,1,29558
Apple,3,32,4036,50,12,6.26,177,0,12595
Apple,12,256,3942,108,12,6.42,176,1,33837
Samsung,3,512,4724,50,32,5.59,203,1,16166
Oppo,4,128,5334,108,12,6.61,149,0,15649
Apple,3,512,5767,108,8,5.49,218,1,26637
Motorola,8,256,4137,50,12,5.0,181,1,20487
Vivo,6,32,5527,48,32,5.72,187,1,20030
Vivo,4,512,3021,64,32,6.08,183,1,18963
Motorola,3,512,4749,12,8,5.91,221,0,21416
Samsung,12,32,3682,64,16,6.64,226,1,28660
Motorola,4,128,5953,12,12,5.2,155,0,11024
Realme,4,32,4833,12,32,6.05,193,1,18002
Realme,3,512,5367,108,12,5.97,174,0,19849
Samsung,4,128,3125,12,12,5.53,167,1,17271
Motorola,12,128,3276,12,16,6.56,141,1,27506
Realme,4,32,4999,50,32,6.43,152,1,20931
Oppo,12,512,4227,64,12,6.39,180,1,31564
Motorola,3,256,5241,50,32,6.66,219,1,17954
Oppo,6,512,3695,12,8,6.37,198,1,28411
Realme,4,64,4309,108,8,5.44,208,1,20420
Vivo,6,256,3056,50,12,6.34,192,0,18957
Realme,12,128,3018,50,32,5.58,184,1,28504
Oppo,4,256,5311,48,12,5.46,159,0,15836
Xiaomi,8,128,5841,12,32,5.14,163,0,24347
OnePlus,6,128,3112,108,32,6.41,200,1,23817
Apple,4,256,3541,50,16,6.35,197,1,18689
Motorola,6,128,5694,50,16,5.45,166,1,24890
Xiaomi,4,128,3578,108,16,6.42,165,0,12847
Realme,3,64,4088,12,12,6.74,146,1,10814
Vivo,6,512,3024,48,16,5.21,181,0,19738
Samsung,8,512,4572,50,16,5.44,186,0,27098
Realme,8,64,5048,48,8,6.43,192,0,20127
Vivo,12,256,5958,64,32,5.52,198,1,29591
OnePlus,4,32,4572,12,32,6.19,177,1,19559
Realme,6,32,3140,64,16,5.15,208,0,12841
Oppo,12,32,4767,64,32,5.86,226,1,25994
Samsung,6,64,3647,64,8,6.4,192,0,14663
Vivo,4,64,5235,12,8,6.3,154,1,22370
Vivo,8,128,3200,12,16,6.55,165,1,27685
Vivo,3,32,3256,108,8,6.67,187,1,19087
OnePlus,8,256,3546,48,32,6.47,158,1,21586
Realme,12,256,5241,48,12,6.28,148,1,31699
OnePlus,3,32,5750,108,32,5.06,203,1,20984
Motorola,12,32,3801,108,12,6.02,193,1,28996
Apple,4,32,3941,64,16,5.07,190,1,15638
Apple,3,64,3413,108,12,6.54,178,1,16018
Motorola,12,64,5014,50,8,5.61,143,0,26039
Realme,4,64,4381,48,32,6.07,142,1,12823
Oppo,8,512,4098,108,12,5.53,203,1,26581
OnePlus,4,256,3909,50,32,6.49,168,0,19421
Samsung,6,256,3187,50,16,6.68,150,1,19618
Vivo,4,128,5015,50,16,5.76,197,1,16148
Vivo,4,64,4313,50,8,6.64,214,1,16559
Realme,6,512,5092,64,16,5.51,166,1,21387
Oppo,12,512,5130,50,12,6.02,160,1,32170
Apple,12,256,4146,64,16,6.63,178,1,30486
Apple,4,64,3357,64,8,5.62,185,1,21501
Vivo,6,128,4551,50,32,6.81,205,1,26592
Realme,6,64,4089,48,32,5.23,175,1,23236
OnePlus,8,32,5983,50,16,5.03,214,1,26032
Apple,12,64,4680,50,12,6.72,221,1,26495
OnePlus,3,32,5422,50,8,5.13,204,1,17814
Oppo,12,32,3161,48,12,6.88,202,1,32422
Apple,12,128,5369,12,8,6.81,174,0,32052
Apple,8,256,3449,12,16,5.26,170,0,24792
Xiaomi,3,64,4497,64,8,6.02,167,1,12466
Apple,8,32,4036,64,8,5.35,140,1,25648
Motorola,3,64,5231,48,16,5.81,164,0,8748
Samsung,4,256,5158,108,12,5.12,182,0,18436
Motorola,3,256,4950,12,16,5.43,223,0,12266
Realme,8,512,5555,64,8,5.69,206,1,33566
Realme,12,256,4313,12,16,5.83,202,0,30101
OnePlus,3,128,5342,48,8,6.86,190,1,14751
Motorola,3,32,5951,48,16,6.53,141,1,14269
Motorola,6,512,4238,108,32,6.4,221,1,27970
Motorola,12,128,3973,108,32,6.02,203,1,30095
Oppo,4,64,3631,48,16,6.6,213,0,10688
Apple,8,32,4590,64,12,5.64,208,1,22730
Samsung,4,256,4050,12,8,6.35,148,1,14495
OnePlus,12,32,5780,50,32,6.89,141,1,29017
Motorola,3,64,4588,108,12,5.6,173,1,18945
Motorola,3,512,5368,50,8,6.28,199,1,21243
Xiaomi,12,512,5960,64,32,6.6,200,0,36209
OnePlus,3,512,4693,108,32,6.74,170,1,23533
Motorola,3,256,3436,50,16,6.36,149,0,12066
OnePlus,3,128,5828,64,8,5.54,215,1,15648
Apple,8,128,4556,12,12,5.62,175,0,20309
Xiaomi,8,32,4076,64,12,5.04,224,1,25293
OnePlus,6,256,4304,108,12,6.45,188,1,21173
Samsung,4,512,5773,48,8,5.08,209,0,22106
Samsung,12,512,5078,12,12,6.64,188,1,33110
Realme,12,64,5384,50,12,5.23,142,0,31643
Xiaomi,12,64,3182,108,12,5.33,213,0,29246
Xiaomi,6,512,5591,48,16,5.91,144,1,22395
Realme,8,512,4469,64,16,6.4,229,1,24558
OnePlus,6,256,4479,48,8,5.26,200,1,21305
Xiaomi,12,128,4589,108,8,5.84,224,0,32900
Samsung,4,64,4587,108,12,5.92,229,1,16673
Samsung,3,128,3659,48,16,5.4,165,1,19512
Motorola,8,256,3159,64,32,5.22,211,1,25687
Apple,8,512,5459,48,32,6.59,144,1,31991
Xiaomi,6,128,4011,108,12,5.95,154,1,19232
OnePlus,8,512,3052,108,12,5.03,155,1,32500
Realme,12,512,5455,50,16,6.53,140,1,34077
Realme,12,32,5894,50,16,6.86,155,1,26775
OnePlus,6,128,4045,12,16,6.15,176,1,21242
Oppo,12,128,4053,108,8,5.96,142,0,27144
Vivo,4,512,5750,50,8,6.67,191,1,19082
Apple,6,256,5307,48,12,6.81,186,1,24667
Realme,4,32,4228,64,8,6.43,152,0,18737
Xiaomi,3,512,4494,48,16,5.85,219,0,21885
Apple,4,64,5823,64,16,6.13,194,1,21417
Xiaomi,3,64,4489,50,8,6.33,160,0,17675
Oppo,3,32,4035,12,32,5.37,205,1,15593
Samsung,4,256,4950,48,12,5.85,193,1,19222
Apple,6,512,3849,48,32,6.58,166,1,27837
Motorola,12,128,3353,48,12,6.24,177,0,30364
Realme,12,32,4098,64,32,5.78,229,1,27528
Apple,3,256,5920,50,8,6.26,197,1,23705
Apple,3,128,4739,48,12,5.22,201,1,17746
Apple,6,64,4464,48,12,5.76,185,1,16097
Vivo,8,64,3990,12,12,6.51,228,1,20922
Apple,4,128,4264,12,16,5.42,150,1,14681
Xiaomi,3,32,4884,50,16,5.35,211,1,19130
Samsung,12,64,4809,50,32,6.81,147,1,33749
Oppo,6,512,5341,108,8,5.4,210,1,31305
OnePlus,4,128,5256,12,16,5.5,203,0,19426
Apple,6,128,4111,108,12,6.84,160,1,21607
Realme,4,64,3817,64,16,6.4,211,1,15893
Apple,4,32,4799,108,8,6.33,202,1,23808
Realme,3,512,4960,48,16,6.62,224,1,17137
Xiaomi,6,32,5437,108,12,5.22,203,0,14742
Realme,6,256,5372,50,32,6.34,159,0,20592
Motorola,12,256,5987,64,12,5.96,147,0,28045
OnePlus,12,64,3888,48,8,6.58,197,0,23334
Samsung,3,64,4855,108,32,5.97,185,1,15998
Realme,3,64,4180,64,16,6.18,170,0,9428
Realme,8,256,3667,64,16,5.91,148,0,27092
Samsung,12,32,3632,48,16,5.91,154,1,33083
OnePlus,4,32,5624,108,32,6.46,165,1,21622
Apple,6,64,4642,64,12,6.19,149,1,18132
Realme,3,512,3136,64,32,6.2,168,1,24357
Samsung,6,32,4946,12,32,5.86,219,1,21531
Motorola,6,256,4697,64,8,6.01,175,0,16078
Motorola,8,128,3427,12,32,6.42,223,1,20413
Xiaomi,12,128,4475,108,16,6.57,176,0,26155
Samsung,3,128,5659,108,12,6.32,225,1,14697
Xiaomi,6,512,5958,108,12,6.76,210,1,25199
Motorola,3,64,3818,50,12,6.56,162,1,15526
OnePlus,4,256,5188,108,16,6.07,180,1,23659
Apple,8,512,4106,64,16,6.28,219,1,31394
Samsung,4,256,5224,48,16,6.76,167,0,19183
Oppo,3,256,3197,12,16,6.18,187,1,12081
Motorola,3,64,5671,50,16,6.57,177,1,16759
Motorola,12,128,4995,108,32,6.31,170,1,36431
Oppo,6,64,5738,108,16,6.05,153,0,19364
Vivo,6,512,5448,48,16,5.46,212,1,26653
Motorola,4,512,3470,48,16,5.81,227,1,22504
Realme,8,512,5265,50,16,6.84,216,1,26098
OnePlus,6,64,4948,12,12,6.25,229,1,18005
Samsung,12,256,3928,108,16,6.07,168,1,31875
Oppo,4,256,5010,50,32,6.77,190,1,25339
Realme,4,32,5679,64,32,6.11,188,1,22938
Oppo,12,512,5998,64,32,6.0,182,1,38282
Samsung,8,256,3905,50,8,6.44,211,1,27212
Xiaomi,12,32,5222,108,12,6.35,226,1,35047
Samsung,8,256,3022,50,16,5.37,144,0,23506
Vivo,12,512,3234,108,8,5.9,181,0,33597
Samsung,12,128,4124,48,16,5.9,146,1,34891
Samsung,3,512,3928,50,8,5.72,181,0,17305
Vivo,4,64,3522,108,8,5.98,175,1,20431
OnePlus,12,256,4808,50,32,5.78,166,1,33385
Motorola,12,256,3430,50,32,5.38,197,1,30403
Samsung,6,64,3792,108,8,5.78,185,1,18761
Vivo,4,64,4629,108,32,5.14,205,1,15585
Realme,6,128,4736,12,8,6.09,164,0,18708
Xiaomi,4,256,3532,50,12,6.62,212,1,20833
Xiaomi,6,256,4746,64,32,6.38,166,1,21998
Samsung,12,128,4675,50,32,5.68,140,1,35431
OnePlus,12,32,4316,50,32,5.17,226,1,27347
OnePlus,3,128,5857,108,12,5.38,213,1,17618
Realme,6,512,3912,50,8,6.04,181,0,20727
Samsung,8,256,4124,50,16,5.39,191,1,22933
Xiaomi,3,64,4525,64,32,6.03,164,1,17703
OnePlus,6,512,4327,108,8,5.44,193,0,24961
Samsung,6,256,5918,50,12,6.61,206,1,26440
Oppo,3,128,5587,48,16,5.75,145,1,16773
OnePlus,12,512,4023,12,32,5.47,197,1,32455
Vivo,6,256,4576,64,12,6.54,209,0,24919
Oppo,12,32,4378,50,12,5.65,192,0,25301
Motorola,3,32,4519,48,16,5.21,205,1,20092
OnePlus,12,64,4681,50,8,6.08,197,0,23344
Xiaomi,4,256,4997,50,32,6.1,221,1,25001
Apple,8,32,3226,108,32,6.36,226,1,25480
Oppo,6,128,4259,108,8,5.46,141,1,22729
Motorola,8,256,3872,108,8,5.84,215,1,25422
Realme,12,128,3891,48,8,5.54,161,1,29604
Realme,6,128,4478,50,16,5.15,176,0,13813
Xiaomi,12,32,4036,12,16,6.67,159,1,30461
OnePlus,4,256,5257,64,32,6.38,163,1,24544
Samsung,3,512,5788,108,16,5.57,223,1,24018
OnePlus,6,32,3396,108,12,6.14,204,1,21466
Xiaomi,4,32,4123,50,32,5.38,204,1,13538
Realme,4,256,5078,50,16,6.69,220,1,20251
OnePlus,6,256,5945,48,8,5.22,140,0,16656
Realme,12,128,3648,48,12,5.01,142,0,24837
Oppo,4,256,3328,108,8,5.95,185,1,19466
Motorola,8,128,4482,50,32,6.11,194,1,23629
Samsung,4,32,3951,12,8,6.1,214,1,14761
Oppo,12,64,5005,64,16,5.1,227,1,29650
Realme,12,512,5016,50,16,5.6,225,1,30140
Realme,8,32,5668,50,32,5.95,203,1,28738
Apple,4,256,4878,48,8,5.41,184,1,17616
Apple,12,512,4196,64,32,6.66,165,0,34896
Oppo,6,64,4772,108,8,5.17,216,1,23105
Vivo,3,64,3161,50,12,5.93,204,1,17448
Oppo,3,128,4751,108,16,6.31,163,0,10447
Apple,3,512,3775,50,32,5.5,213,1,23259
Realme,4,128,4827,108,12,6.19,174,1,17614
Xiaomi,8,32,5321,64,12,6.58,163,0,25253
Oppo,12,512,4051,48,32,5.36,167,1,38570
Realme,6,32,5373,64,32,6.74,219,1,23832
Xiaomi,6,128,3939,12,12,6.05,155,0,18555
Xiaomi,4,512,3539,48,8,5.57,198,1,24295
Apple,3,128,5535,64,12,5.82,220,0,11589
Oppo,4,512,3821,12,32,5.59,193,1,22369
OnePlus,8,128,4461,50,12,6.38,218,0,17368
Samsung,8,64,4088,50,8,6.51,155,1,24662
Apple,12,128,3355,108,16,6.58,154,1,33686
Apple,12,64,3234,48,16,6.87,150,0,30760
OnePlus,8,128,5274,50,12,6.5,204,1,24296
Samsung,8,512,4548,48,8,6.14,218,1,24233
Realme,8,512,5096,50,16,5.64,229,1,26646
Vivo,4,512,3117,108,12,6.03,207,1,22346
Oppo,8,256,5101,64,12,5.08,182,1,27208
Vivo,6,32,4673,108,8,6.42,208,0,21897
Realme,3,512,5612,12,32,5.85,152,0,22595
Motorola,8,64,4067,50,12,5.04,149,1,22560
Apple,3,512,5100,12,32,5.12,214,1,23209
Samsung,4,256,3557,12,32,5.74,221,1,16096
Apple,3,64,4815,48,16,6.11,180,1,18182
Xiaomi,4,256,5005,50,32,5.88,189,1,16386
Apple,6,64,5915,12,8,6.18,226,1,24714
Apple,4,128,3397,64,16,5.91,210,1,19155
Realme,4,32,3674,12,16,6.26,198,0,8712
Realme,12,32,3386,64,16,5.42,178,1,24450
Realme,8,256,5158,48,12,5.21,142,1,30555
Vivo,8,32,5661,12,12,6.13,215,1,22277
Xiaomi,6,256,5064,108,32,5.92,146,0,19662
Motorola,6,256,3883,48,16,5.05,188,1,18093
Motorola,8,256,3540,64,16,5.72,165,1,21263
Realme,12,32,3170,48,8,5.2,172,0,25046
Samsung,8,256,5456,12,32,6.01,187,1,28112
Vivo,12,32,3739,50,8,5.75,218,1,26835
OnePlus,6,256,4401,50,32,6.16,141,1,18560
Samsung,3,512,5905,64,32,6.53,210,1,19152
Oppo,6,256,5277,64,12,5.57,171,1,25517
Oppo,6,64,3118,50,12,6.83,143,0,16883
Samsung,4,256,5831,64,8,6.02,159,0,15800
Realme,4,128,5512,48,32,6.17,175,1,17094
OnePlus,4,256,5151,108,16,6.29,171,1,20578
OnePlus,4,64,5745,108,12,6.27,167,0,19267
Vivo,12,64,4995,48,16,5.97,216,1,34606
OnePlus,8,32,4705,108,8,5.81,140,1,25758
Oppo,3,512,4722,12,12,5.1,199,1,15395
Xiaomi,6,256,5222,48,12,5.04,195,0,23446
Realme,12,32,5792,64,32,5.68,174,1,27236
OnePlus,3,512,4697,48,8,5.63,169,0,13462
Vivo,12,256,4444,50,32,5.74,193,1,35269
Oppo,12,128,4759,64,12,5.26,175,1,34908
Xiaomi,6,256,4524,50,8,6.4,194,1,23720
Apple,8,64,3664,64,12,6.63,228,0,20245
Apple,4,64,3032,108,8,6.78,219,0,11030
Xiaomi,8,128,5102,48,12,5.94,197,1,20515
Oppo,6,32,5566,12,16,6.33,222,1,19476
Vivo,6,512,5803,64,16,6.63,204,1,24611
Xiaomi,6,256,5059,64,32,5.79,208,1,25706
Realme,3,64,4551,50,16,5.59,190,1,16893
Realme,8,32,3719,108,12,6.78,161,1,27055
Apple,8,128,5602,50,12,5.98,227,0,22338
OnePlus,12,64,5420,50,16,5.94,192,0,27002
Vivo,12,128,3483,108,32,5.34,175,0,22981
Apple,12,256,3972,12,16,5.21,207,1,34819
OnePlus,6,512,5670,50,8,6.6,175,1,25566
OnePlus,8,64,3306,50,8,6.17,191,1,22093
Motorola,6,64,3456,64,8,5.62,192,0,14473
Realme,3,256,5207,108,16,5.36,221,0,20954
Oppo,12,32,3330,48,16,6.06,189,0,29513
Samsung,6,512,5823,12,16,6.11,219,1,26311
Oppo,6,64,3224,12,8,5.39,180,1,20210
Samsung,3,512,5776,108,32,6.62,157,1,19336
Xiaomi,4,64,4479,64,12,5.16,161,0,18998
Realme,8,512,4082,64,16,5.68,205,0,24445
OnePlus,4,128,3643,108,32,6.29,160,0,12912
Vivo,12,64,3615,64,12,5.52,183,0,24619
Samsung,6,512,3194,12,12,6.57,186,1,22508
Oppo,3,32,3488,12,12,6.41,178,0,13164
OnePlus,3,128,5204,48,32,6.5,168,1,14565
Samsung,8,128,5657,108,32,5.23,193,1,23659
Samsung,4,32,4249,50,8,5.27,229,1,14468
Motorola,8,512,5459,50,32,5.54,224,1,33108
Samsung,6,256,4102,48,32,5.98,156,1,21607
Vivo,8,32,4147,48,32,6.42,219,0,24464
Realme,3,512,5518,64,12,6.59,199,1,19524
Vivo,3,32,4241,48,16,6.34,170,1,16811
Apple,12,32,3515,48,8,6.76,212,0,25511
OnePlus,12,64,4625,50,16,6.4,217,1,32017
Realme,6,512,4127,64,16,5.58,188,1,28154
Motorola,4,256,3392,48,32,5.5,141,1,22753
Realme,8,64,3630,48,8,6.32,187,0,15852
Realme,6,32,4847,64,16,5.37,153,0,13260
Oppo,12,32,5655,108,16,5.18,198,1,30418
Realme,8,32,3979,64,8,6.01,197,0,19361
Motorola,12,512,3433,50,32,6.56,197,1,31761
Vivo,8,512,5587,108,16,5.19,190,1,26547
Realme,4,64,3277,12,12,6.5,223,0,13908
Xiaomi,6,256,3232,64,16,6.54,141,1,21009
OnePlus,8,64,4552,50,12,5.92,180,1,19775
Realme,3,128,4594,108,32,5.11,222,0,18506
OnePlus,3,32,4113,64,16,5.33,221,1,13739
Xiaomi,8,32,5409,48,8,6.34,155,1,27174
Xiaomi,8,32,3025,64,8,6.35,143,1,27345
OnePlus,8,64,4417,12,16,6.71,151,1,22491
Samsung,3,64,5554,64,32,6.11,168,1,14963
Apple,3,32,5314,108,32,5.24,146,1,16016
Oppo,8,64,3460,108,8,5.23,153,1,23707
Samsung,12,512,5503,64,16,6.37,151,1,39848
Samsung,12,512,4091,108,32,5.35,144,1,30379
Vivo,4,64,4006,48,8,5.62,220,1,15797
Oppo,6,32,5910,64,12,5.93,171,0,15994
Oppo,12,64,4994,48,16,5.05,213,1,28479
Samsung,3,64,3490,48,12,5.47,182,1,12738
Realme,12,64,4072,50,12,5.77,220,0,27960
Vivo,4,128,5611,64,32,5.53,208,1,21329
Vivo,4,512,3215,108,32,5.26,184,0,22185
Xiaomi,6,256,4723,48,32,6.38,148,0,18234
Motorola,12,256,4592,50,16,6.54,188,1,27135
Oppo,3,128,5606,64,12,5.49,172,1,16611
Samsung,3,64,3158,64,16,6.47,157,0,10363
Xiaomi,8,128,5536,12,32,5.73,148,1,24826
OnePlus,3,128,3685,12,12,5.96,201,1,16622
Apple,6,32,5841,48,16,6.63,196,0,14275
Motorola,6,512,4776,12,16,6.42,168,1,25800
Motorola,3,256,5052,48,8,6.53,217,1,18208
Motorola,3,64,4843,108,16,5.26,164,1,16380
Vivo,8,256,5408,48,32,5.13,154,1,30262
OnePlus,3,256,5506,12,16,6.7,145,1,21903
Motorola,8,512,5295,108,12,5.74,181,0,23805
OnePlus,8,256,4589,12,16,5.55,168,0,17888
Realme,3,256,4696,48,8,6.38,218,1,18634
Motorola,4,128,5993,50,12,6.59,143,1,19074
Apple,4,512,5469,64,12,6.64,221,0,23775
OnePlus,8,32,4946,12,8,5.6,196,1,26422
OnePlus,3,64,5062,48,32,6.62,188,1,19914
Apple,4,256,5783,108,12,5.08,183,0,21325
Motorola,3,64,4145,12,32,5.09,219,0,11783
Apple,3,32,5324,12,12,6.18,214,1,19981
OnePlus,3,64,4581,64,12,5.12,153,1,12531
Apple,12,32,5500,48,32,5.62,142,0,23253
OnePlus,3,128,5645,50,12,6.28,201,1,13344
OnePlus,12,256,5493,108,32,5.64,203,1,35852
Realme,8,32,5257,48,8,5.34,184,1,28513
Samsung,4,64,5761,108,32,5.53,221,0,16710
OnePlus,4,256,5349,12,8,5.87,197,1,17897
Motorola,4,128,4932,64,12,5.9,159,1,14582
Xiaomi,4,256,4757,64,32,6.49,197,1,22632
